Time , CPU (%), Memory Usage (%), TestCase
03:06:22,34,1.19,Sample
03:06:34,2,1.21,Sample
03:06:37,7,1.21,Sample
03:06:39,4,1.21,Sample
03:06:42,8,1.21,Sample
03:06:44,10,1.21,Sample
03:06:47,5,1.21,Sample
03:06:49,4,1.21,Sample
03:06:52,4,1.20,Sample
03:06:54,12,1.20,Sample
03:06:57,13,1.20,Sample
03:06:59,10,1.20,Sample
03:07:02,2,1.21,Sample
03:07:05,27,1.19,Sample
03:07:07,4,1.20,Sample
03:07:10,4,1.20,Sample
03:07:12,5,1.19,Sample
03:07:15,4,1.19,Sample
03:07:17,10,1.18,Sample
03:07:20,10,1.19,Sample
03:07:22,13,1.20,Sample
03:07:25,10,1.20,Sample
03:07:28,4,1.20,Sample
03:07:30,7,1.20,Sample
03:07:33,19,1.20,Sample
03:07:35,37,1.18,Sample
03:07:38,38,1.15,Sample
03:07:40,29,1.14,Sample
03:07:43,22,1.13,Sample
03:07:45,35,1.10,Sample
03:07:48,74,0.99,Sample
03:07:51,30,0.89,Sample
03:07:53,33,0.89,Sample
03:07:56,24,0.88,Sample
03:07:58,21,0.87,Sample
03:08:01,19,0.89,Sample
03:08:03,10,0.88,Sample
03:08:06,55,0.68,Sample
03:08:08,27,0.71,Sample
03:08:11,16,0.69,Sample
03:08:13,63,0.51,Sample
03:08:16,94,0.41,Sample
03:08:20,100,0.39,Sample
03:08:27,100,0.41,Sample
03:08:32,100,0.44,Sample
03:08:36,100,0.40,Sample
03:08:40,100,0.43,Sample
03:08:43,100,0.38,Sample
03:08:47,100,0.40,Sample
03:08:50,100,0.41,Sample
03:08:53,100,0.46,Sample
03:08:58,100,0.41,Sample
03:09:01,100,0.44,Sample
03:09:04,100,0.41,Sample
03:09:08,100,0.39,Sample
03:09:13,100,0.45,Sample
03:09:17,100,0.37,Sample
03:09:21,80,1.34,Sample
03:09:24,32,1.48,Sample
03:09:26,24,1.86,Sample
03:09:29,2,1.86,Sample
