Time , CPU (%), Memory Usage (%)
03:07:22,40,0.35
03:08:03,38,0.35
03:08:06,18,0.65
03:08:09,33,0.59
03:08:12,91,0.50
03:08:15,86,0.47
03:08:18,92,0.42
03:08:22,71,0.40
03:08:24,80,0.39
03:08:27,99,0.38
03:08:30,100,0.36
03:08:34,88,0.65
03:08:38,90,0.44
03:08:41,100,0.43
03:08:46,100,0.50
03:08:49,63,0.44
03:08:53,49,0.44
03:08:55,21,0.48
03:08:58,63,0.43
03:09:01,80,0.40
03:09:04,76,0.66
03:09:07,79,0.54
03:09:10,94,0.43
03:09:13,100,0.40
03:09:16,69,0.36
03:09:19,71,0.36
03:09:22,90,0.32
03:09:25,40,0.35
03:09:27,47,0.38
03:09:30,70,0.36
03:09:33,60,0.35
03:09:36,24,0.32
03:09:38,43,0.33
03:09:41,30,0.35
03:09:44,38,0.37
03:09:47,71,0.51
03:09:50,100,0.45
03:09:54,100,0.53
03:09:58,100,0.47
