Time , CPU (%), Memory Usage (%), TestCase
12:24:55,20,0.83,AF_Bell_Demo
12:24:58,22,0.78,AF_Bell_Demo
12:24:58,43,0.78,AF_Bell_Demo
12:25:00,15,0.80,AF_Bell_Demo
12:25:01,26,0.82,AF_Bell_Demo
12:25:03,16,0.90,AF_Bell_Demo
12:25:03,27,0.90,AF_Bell_Demo
12:25:05,15,0.89,AF_Bell_Demo
12:25:06,18,0.89,AF_Bell_Demo
12:25:08,21,0.89,AF_Bell_Demo
12:25:08,15,0.90,AF_Bell_Demo
12:25:10,19,0.90,AF_Bell_Demo
12:25:11,18,0.89,AF_Bell_Demo
12:25:13,12,0.89,AF_Bell_Demo
12:25:13,15,0.90,AF_Bell_Demo
12:25:15,18,0.90,AF_Bell_Demo
12:25:16,19,0.91,AF_Bell_Demo
12:25:18,13,0.90,AF_Bell_Demo
12:25:18,15,0.91,AF_Bell_Demo
12:25:20,10,0.89,AF_Bell_Demo
12:25:21,10,0.90,AF_Bell_Demo
12:25:22,10,0.90,AF_Bell_Demo
12:25:23,21,0.91,AF_Bell_Demo
12:25:25,19,0.90,AF_Bell_Demo
12:25:26,17,0.91,AF_Bell_Demo
12:25:28,8,0.91,AF_Bell_Demo
12:25:28,11,0.91,AF_Bell_Demo
12:25:30,12,0.91,AF_Bell_Demo
12:25:31,19,0.91,AF_Bell_Demo
12:25:33,16,0.90,AF_Bell_Demo
12:25:33,10,0.90,AF_Bell_Demo
12:25:35,27,0.91,AF_Bell_Demo
12:25:36,26,0.91,AF_Bell_Demo
12:25:38,21,0.91,AF_Bell_Demo
12:25:38,21,0.91,AF_Bell_Demo
12:25:40,21,0.91,AF_Bell_Demo
12:25:41,22,0.91,AF_Bell_Demo
12:25:43,18,0.90,AF_Bell_Demo
12:25:43,13,0.91,AF_Bell_Demo
12:25:45,12,0.90,AF_Bell_Demo
12:25:46,14,0.91,AF_Bell_Demo
12:25:48,12,0.91,AF_Bell_Demo
12:25:48,13,0.91,AF_Bell_Demo
12:25:50,16,0.90,AF_Bell_Demo
12:25:51,21,0.91,AF_Bell_Demo
12:25:53,8,0.90,AF_Bell_Demo
12:25:53,19,0.90,AF_Bell_Demo
12:25:55,21,0.90,AF_Bell_Demo
12:25:56,26,0.90,AF_Bell_Demo
12:25:58,15,0.91,AF_Bell_Demo
12:25:58,15,0.91,AF_Bell_Demo
12:26:00,10,0.90,AF_Bell_Demo
12:26:01,22,0.90,AF_Bell_Demo
12:26:03,16,0.90,AF_Bell_Demo
12:26:03,10,0.90,AF_Bell_Demo
12:26:05,13,0.90,AF_Bell_Demo
12:26:06,19,0.89,AF_Bell_Demo
12:26:08,19,0.89,AF_Bell_Demo
12:26:08,20,0.90,AF_Bell_Demo
12:26:10,11,0.90,AF_Bell_Demo
12:26:11,13,0.90,AF_Bell_Demo
12:26:13,13,0.90,AF_Bell_Demo
12:26:13,22,0.91,AF_Bell_Demo
12:26:15,11,0.91,AF_Bell_Demo
12:26:16,13,0.91,AF_Bell_Demo
12:26:18,11,0.91,AF_Bell_Demo
12:26:18,19,0.91,AF_Bell_Demo
12:26:20,18,0.91,AF_Bell_Demo
12:26:21,19,0.91,AF_Bell_Demo
12:26:23,13,0.91,AF_Bell_Demo
12:26:23,15,0.91,AF_Bell_Demo
12:26:25,16,0.91,AF_Bell_Demo
12:26:26,16,0.91,AF_Bell_Demo
12:26:28,10,0.91,AF_Bell_Demo
12:26:28,12,0.92,AF_Bell_Demo
12:26:30,10,0.91,AF_Bell_Demo
12:26:31,9,0.92,AF_Bell_Demo
12:26:33,16,0.91,AF_Bell_Demo
12:26:33,12,0.92,AF_Bell_Demo
12:26:35,13,0.91,AF_Bell_Demo
12:26:36,12,0.91,AF_Bell_Demo
12:26:38,13,0.90,AF_Bell_Demo
12:26:38,19,0.91,AF_Bell_Demo
12:26:40,13,0.91,AF_Bell_Demo
12:26:41,7,0.91,AF_Bell_Demo
12:26:43,15,0.91,AF_Bell_Demo
12:26:43,19,0.92,AF_Bell_Demo
12:26:45,16,0.91,AF_Bell_Demo
12:26:46,16,0.91,AF_Bell_Demo
12:26:48,10,0.91,AF_Bell_Demo
12:26:48,19,0.92,AF_Bell_Demo
12:26:50,15,0.91,AF_Bell_Demo
12:26:51,11,0.92,AF_Bell_Demo
12:26:53,18,0.92,AF_Bell_Demo
12:26:53,16,0.92,AF_Bell_Demo
12:26:55,15,0.92,AF_Bell_Demo
12:26:56,19,0.92,AF_Bell_Demo
12:26:58,10,0.92,AF_Bell_Demo
12:26:58,16,0.92,AF_Bell_Demo
12:27:00,5,0.92,AF_Bell_Demo
