Time , CPU (%), Memory Usage (%)
02:35:02,84,0.62
02:35:06,83,0.57
02:35:09,83,0.58
02:35:12,56,0.75
02:35:15,97,0.69
02:35:18,87,0.68
02:35:21,71,0.67
02:35:23,61,0.63
02:35:26,79,0.61
02:35:29,85,0.61
02:35:32,40,0.83
02:35:34,97,0.75
02:35:37,80,0.73
02:35:40,90,0.68
02:35:43,35,0.68
02:35:46,51,0.64
02:35:48,78,0.62
02:35:51,65,0.63
02:35:54,90,0.77
02:35:56,96,0.75
02:35:59,90,0.70
02:36:02,43,0.70
02:36:05,73,0.64
02:36:07,88,0.65
02:36:10,88,0.63
02:36:13,25,0.84
02:36:15,97,0.76
02:36:18,94,0.76
02:36:21,84,0.71
02:36:24,42,0.71
02:36:27,59,0.67
02:36:29,80,0.62
02:36:32,39,0.89
02:36:35,90,0.86
