Time , CPU (%), Memory Usage (%), TestCase
01:09:41,19,1.10,BF_Signup
01:09:43,8,1.10,BF_Signup
01:09:46,13,1.10,BF_Signup
01:09:48,7,1.10,BF_Signup
01:09:51,12,1.10,BF_Signup
01:09:53,8,1.10,BF_Signup
01:09:56,7,1.10,BF_Signup
01:09:58,4,1.11,BF_Signup
01:10:01,15,1.10,BF_Signup
01:10:03,10,1.10,BF_Signup
01:10:05,13,1.09,BF_Signup
01:10:08,27,1.10,BF_Signup
01:10:10,10,1.10,BF_Signup
01:10:13,7,1.10,BF_Signup
01:10:15,8,1.10,BF_Signup
01:10:18,8,1.10,BF_Signup
01:10:20,7,1.10,BF_Signup
01:10:23,7,1.09,BF_Signup
01:10:25,15,1.10,BF_Signup
01:10:28,10,1.10,BF_Signup
01:10:30,4,1.10,BF_Signup
01:10:33,11,1.10,BF_Signup
01:10:35,21,1.10,BF_Signup
01:10:38,16,1.10,BF_Signup
01:10:40,21,1.10,BF_Signup
01:10:43,16,1.10,BF_Signup
01:10:45,26,1.05,BF_Signup
01:10:48,15,1.05,BF_Signup
01:10:50,22,1.02,BF_Signup
01:10:53,30,0.99,BF_Signup
01:10:55,57,1.14,BF_Signup
01:11:44,18,1.08,Sample
01:11:46,12,1.08,Sample
01:11:49,18,1.08,Sample
01:11:51,13,1.08,Sample
01:11:54,29,1.07,Sample
01:11:56,16,1.07,Sample
01:11:58,21,1.07,Sample
01:12:01,7,1.07,Sample
01:12:03,7,1.06,Sample
01:12:06,26,1.07,Sample
01:12:08,15,1.07,Sample
01:12:11,16,1.05,Sample
01:12:13,15,1.05,Sample
01:12:16,18,1.04,Sample
01:12:18,12,1.04,Sample
01:12:21,16,1.06,Sample
01:12:23,12,1.07,Sample
01:12:26,10,1.07,Sample
01:12:28,15,1.08,Sample
01:12:31,22,1.08,Sample
01:12:33,18,1.09,Sample
01:12:36,16,1.09,Sample
01:12:38,16,1.08,Sample
01:12:41,7,1.07,Sample
01:12:43,10,1.07,Sample
01:12:46,18,1.05,Sample
01:12:48,32,1.03,Sample
01:12:51,26,1.01,Sample
01:12:53,8,1.00,Sample
01:12:56,29,0.98,Sample
01:12:58,27,1.00,Sample
01:13:01,58,0.97,Sample
01:13:03,26,0.97,Sample
01:13:06,26,0.97,Sample
01:13:08,33,0.95,Sample
01:13:10,23,0.94,Sample
01:13:13,25,0.96,Sample
01:13:15,18,0.96,Sample
01:13:18,31,0.95,Sample
01:13:21,32,0.93,Sample
01:13:23,21,1.14,Sample
01:13:25,19,1.15,Sample
01:13:28,15,1.15,Sample
