Time , CPU (%), Memory Usage (%)
02:28:59,99,0.42
02:29:06,93,0.56
02:29:09,97,0.60
02:29:12,100,0.55
02:29:15,100,0.56
02:29:18,93,0.55
02:29:21,46,0.53
02:29:23,82,0.51
02:29:26,88,0.50
02:29:29,88,0.51
02:29:31,51,0.67
02:29:35,96,0.61
02:29:38,96,0.69
02:29:40,87,0.67
02:29:41,88,0.64
02:29:43,67,0.59
02:29:44,49,0.59
02:29:46,87,0.52
02:29:46,80,0.55
02:29:48,88,0.52
02:29:49,86,0.52
02:29:51,86,0.52
02:29:52,83,0.53
02:29:54,74,0.73
02:29:54,61,0.69
02:29:56,96,0.61
02:29:57,94,0.59
02:29:59,100,0.57
02:30:00,100,0.58
02:30:02,100,0.57
02:30:03,100,0.55
02:30:05,74,0.53
02:30:06,90,0.52
02:30:08,54,0.52
02:30:08,76,0.51
02:30:11,63,0.49
02:30:11,74,0.50
02:30:13,85,0.48
02:30:14,82,0.48
02:30:16,83,0.40
02:30:17,84,0.38
02:30:19,63,0.58
02:30:20,90,0.57
02:30:22,94,0.54
02:30:23,94,0.55
02:30:25,97,0.54
02:30:25,97,0.55
02:30:28,71,0.56
02:30:28,69,0.56
02:30:31,72,0.49
02:30:31,63,0.50
02:30:33,80,0.51
02:30:34,77,0.51
02:30:36,85,0.50
02:30:36,84,0.50
02:30:39,94,0.42
02:30:39,100,0.45
02:30:42,69,0.67
02:30:42,51,0.66
02:30:44,93,0.59
02:30:45,93,0.58
02:30:48,100,0.64
02:30:48,100,0.64
02:30:51,97,0.73
02:30:51,100,0.73
02:30:53,67,0.70
02:30:54,50,0.71
02:30:56,71,0.68
02:30:56,70,0.69
02:30:59,85,0.66
02:30:59,86,0.66
02:31:01,87,0.64
02:31:02,91,0.65
02:31:04,53,0.86
02:31:04,49,0.85
02:31:06,96,0.78
