Time , CPU (%), Memory Usage (%)
04:04:46,99,1.12
04:04:49,100,0.99
04:04:52,99,0.96
04:04:55,83,0.87
04:04:57,57,0.79
04:05:00,76,0.76
04:05:03,100,0.69
04:05:06,89,0.76
04:05:09,100,0.61
04:05:12,97,0.60
04:05:15,96,0.60
04:05:18,88,0.59
04:05:21,58,0.59
04:05:24,82,0.59
04:05:26,80,0.57
04:05:29,63,1.26
04:05:31,94,1.16
04:05:32,97,1.15
04:05:34,100,1.09
04:05:35,100,1.08
04:05:37,100,1.01
04:05:38,100,1.00
04:05:40,91,0.99
04:05:41,85,0.97
04:05:43,55,0.96
04:05:44,68,0.95
04:05:46,83,0.88
04:05:47,85,0.84
04:05:48,100,0.77
04:05:51,99,0.74
04:05:53,99,0.69
04:05:55,82,0.70
04:05:56,68,0.88
04:05:57,79,0.84
04:05:59,100,0.83
04:06:01,99,0.81
04:06:02,100,0.81
04:06:04,87,0.79
04:06:05,94,0.83
04:06:07,83,0.79
04:06:08,72,0.78
04:06:09,66,0.81
04:06:11,67,0.81
04:06:12,77,1.03
04:06:13,90,1.03
04:06:15,66,1.02
