Time , CPU (%), Memory Usage (%), TestCase
11:06:03,17,0.69,BF_Signup
11:06:06,27,0.66,BF_Signup
11:06:09,51,0.58,BF_Signup
11:06:11,22,0.57,BF_Signup
11:06:14,29,0.80,BF_Signup
11:06:24,27,0.72,BF_LinkedIn_TC_001
11:06:26,58,0.65,BF_LinkedIn_TC_001
11:06:29,13,0.65,BF_LinkedIn_TC_001
11:06:31,12,0.61,BF_LinkedIn_TC_001
11:06:34,9,0.61,BF_LinkedIn_TC_001
11:06:36,26,0.62,BF_LinkedIn_TC_001
11:06:39,11,0.62,BF_LinkedIn_TC_001
11:06:42,17,0.83,BF_LinkedIn_TC_001
11:06:44,4,0.82,BF_LinkedIn_TC_001
